Energy_Meter_ID,Year,Month_Num,Present_Reading,Previous_Reading,Difference,Meter_Constant,Net_Energy_MU,Consumption_Ratio,Meter_Status_OK,meter_mean_diff,meter_std_diff,meter_mean_net,meter_std_net,meter_record_count,Diff_Zscore,Net_Energy_Zscore,Diff_Deviation_Ratio
Q0245763,2020,0,32.0,27.091,4.909,40000.0,196360.0,0.1812040899191613,1,5.324028169014084,2.556519765908508,212961.12676056335,102260.7906363403,71,-0.1623410757657865,-0.1623410757657867,0.9220462109067052
Q0245756,2020,0,57.288,47.351,9.937,40000.0,397480.0,0.2098582923275115,1,4.927042253521127,4.819802463162096,197081.69014084508,192792.09852648395,71,1.039452920481729,1.0394529204817289,2.0168286547367216
Q0245885,2020,0,199.025,151.053,47.972,20000.0,959440.0,0.3175838943946826,1,10.859778378378376,18.73837633034432,344557.15068493143,1059402.593219086,74,1.9805462846598565,0.580405271094055,4.417401380447265
Q0245739,2020,0,228.752,176.796,51.956,10000.0,519560.0,0.2938754270458608,1,39.94781944444444,11.267900132210784,415160.42253521126,104383.1187971452,72,1.0656981704362631,1.000157675568935,1.300596646389057
Q0245809,2020,0,96.163,71.672,24.491,20000.0,489820.0,0.341709454180154,1,23.615661971830985,5.396258698510247,487234.3661971831,137110.4789652949,71,0.1622120207859327,0.018858032021545,1.0370659958299338
Q0245113,2020,0,142.949,98.842,44.107,40000.0,1764280.0,0.4462374294328322,1,24.286676056338035,20.28085999217323,965589.014084507,813747.7718576561,71,0.9772920848184448,0.9814969865812464,1.816098666515112
Q0245930,2020,0,316.222,218.552,97.67,20000.0,1953400.0,0.4468959332332809,1,77.40174999999999,143.8936639763133,2267442.5,526540.6872759613,72,0.1408557502805434,-0.596425893741825,1.2618577745335218
Q0245713,2020,0,82.51,68.712,13.798,40000.0,551920.0,0.2008091745255559,1,32.79048611111111,15.874084052531863,1311619.4444444445,634963.3621012745,72,-1.1964461097887324,-1.1964461097887324,0.4207927858478599
Q0245916,2020,0,96.387,76.138,20.249,120000.0,2429880.0,0.2659512989571567,1,44.12260294117647,12.08437567798017,5366090.149253732,1335301.248486868,68,-1.9755760311786996,-2.198912157523237,0.458925780670638
KEB07711,2020,0,1159.0,1158.95,0.0499999999999545,20000.0,999.999999999091,4.314249967639199e-05,1,0.1834782608695662,0.7445452523857999,3669.5652173913177,14890.905047715944,46,-0.1792748801256845,-0.1792748801256845,0.2725118483409826
Q0245899,2020,0,51.999,43.559,8.44,20000.0,168800.0,0.1937601873321242,1,9.431333333333336,3.55236493731814,190886.19718309864,68898.3537511435,72,-0.2790629202870533,-0.3205620451088366,0.8948893758394004
Q0245701,2020,0,56.751,44.183,12.568,10000.0,125680.0,0.2844532965167598,1,30.7575,17.940807879931587,587681.0256410255,399980.85516549455,40,-1.013861812786402,-1.155057847580904,0.4086157847679427
Q0245949,2020,0,158.986,126.117,32.869,20000.0,657380.0,0.2606230722265832,1,37.31822222222222,12.470915139988511,764864.2253521127,242559.7629313648,72,-0.3567679013351314,-0.4431247130733988,0.8807761474882692
Q0245773,2020,0,78.965,56.347,22.618,40000.0,904720.0,0.4014055761619962,1,29.999624999999973,45.97636836445583,1004875.5555555556,577514.2749601826,72,-0.1605525895713564,-0.1734252466096372,0.7539427576178042
